,"Брусок 42*33 чист","ДСтП 38мм","п/м хв. 40мм","Шл.шкурка ткань60-80  (1115х2150)","п/м бук 36мм","Скоба Акес","ХДФ 3мм","Брусок 1800х16х51,5","2-у кратная заготовка профиль 552(шпон Венге)","2-у кратная заготовка профиль 552(шпон Сапели)","2-у кратная заготовка профиль 552(шпон дуб514)","2-у кратная заготовка профиль 552(шпон Тик)","2-у кратная заготовка профиль 552(шпон дуб седой)","Термонить","Шлиф. лента на сцепл. основе","Клеевая нить","Клей Дорус МД 072","FOLCO-LIT D2EX","Шл.губка №180","ДСтП 16мм","шл.шкурка Р120-150","Шпон файн.лайн.SBT2R514/Х3РТ","Бусок 39*28 чист","Бусок 39*28 грязн.","Брус срощенный     1800х130х45","V-гвоздь Н=15мм","Скоба упаковочная 80/16","Шпилька Омер 6/26","Шпон ф.л. Дуб седой ТВТ 2В 1960/00/XV","Шпон ф.л. Дуб 2R 377/ХV","Шпон ф.л. Дуб 2R 377/F1","Шпон зебрано 7Т 235/00/Y17","Шпон тик ST 2T 96/00/Y17","Шпон макоре радиал. АВ","Шпон вишня"," Шпон сапеле радиал. ","Шпон ф.л. Венге 2R 38V","Шпон ф.л. дуб белен SBT 2R510","Шпон ф.л. нац.орех 270/XV","Шпон ф.л. нац.орех 270 FN","Шпон тем. Дуб 528/Y19","Шпон тем. Дуб 528/F1","Шпон тем. Дуб 524/Y17","Шпон Сипо","Шл.губка","Клей-расплав Дорус 621","Смола КФЖ","Хлористый аммоний","шл.шкурка тканьР100   (100х50м)","шл.шкурка бумР120   (115х50м)","шл.шкурка бум      Р180-240  (150х5030)","шл.шкурка бум   Р150-220   (2620х1130)","Скоба 80/08","Шпатлевка","Кромочный матер. Милан.ор.","Кромочный матер. Итал.ор","Сотовое  заполнение Н=33,5","Сотовое  заполнение Н=28,5","рамка багет. Бекар 11-2 ясень ПГ","рамка багет. Бекар 11-2 ясень ПО","Паста L0071","Лак НЦ кнехоцель","Растворитель №646","Шл.шкурка бум     Р300-400   (2620х1130)","Шл.шкурка бумР150   (115х50м)","Шл.губка","Упаковка ""LUKITURI"" 2000*143","Упаковка 2100*200","Упаковка 2100*500","Пленка п/э 0,05мм","Скотч (66м)","Скоба упаковочная 80/16","Краситель Е-50","Шпилька Сенко AZ13","Герметик силиконовый","Протектор угловой (зеленый)","Стекло узорч. ","Стекло Мистлайт","Профиль погонаж. Милан.ор","Профиль погонаж. итал.ор","Скоба угл. Н-15","Шпилька Омер 12/25","Шпилька Омер 6/26","Лак ПУ","Отвердитель INUR0038","Восковый карандаш","ацетон","Краситель патина (золото)","Краситель водный","Краситель Р33","Шпатлевка УФ-праймер","Лак водный Икра 097Е30","Грунт Уф праймер","рамка багетная береза ПГ","рамка багетная береза ПО","рамка багет Бекар 12-2  ПГ","рамка багет. Бекар 12-2  ПО","Коробка Пальмира без отд. Дуб","Коробка Пальмира без отд. Виш","Коробка Пальмира без отд. Бел.Дуб","Коробка Пальмира без отд. Орех","шл.губка","шл.лента ткань     Р150-180  (100*2800)","Лак водный  ""ICRA""","Грунт п/у  FPUR 0038","заглушка №12 милан.","Скоба упак 80/16","петля","уплотнитель красно-коричневый","уплотнитель бежевый"," Гофрокартон 2150*330     ""TISCHLER"" (кор.стойки)"," Гофрокартон 1060*246     ""TISCHLER"" (кор. Планки)","уплотнитель светло-бежевый","гайка опорная","винт опорный","Пленка п/э","Лента п/п","Уголок пластиковый","Пленка стрейч","Коробка Сити без отдел. Бел.дуб","Коробка Сити без отдел. Орех","Коробка Сити без отдел. вишня","Коробка Сити без отдел. Венге","Замок для ленты(Скоба С:1,1)","Коробка Фламенко венге","Коробка Фламенко дуб бел.","Коробка Фламенко кр.дер","Коробка Фламенко орех","Коробка Фламенко дуб","Скотч","наличник сфера дуб","наличник сфера бел.дуб","наличник сфера орех","наличник сфера вишня","наличник сфера венге","наличник сити бел.дуб","наличник сити орех","наличник сити вишня","наличник сити венге","Уплотнитель ""шоко""","Бумага писчая","разбавитель DILL 0403","Заглушка   №14 милан.","наличник капля","коробка Юпитер","наличник гладкий","Профиль 552 тик","Профиль 552венге","Профиль 552 дуб 514","Профиль 552 сапеле","Профиль 551дуб 514","Стекло сатината","Краситель водный ВАПА(красное дерево)","Рамка Респект ПГ","Рамка Респект ПО","шл.шкурка ткань      Р150-180  (80х2950)","шл.бобина D150х30  dп32мм М63","шл.лента ткань     Р120  (100*2800)","шл.круг (скотч-брайт)     Р240-280  ","Пакет п/этилен. для фурнитуры"," Гофрокартон 1330*246     ""TISCHLER"" (кор. Планки)","заглушка №12 итал.","заглушка №14 итал.","Уплотнитель ""Контур""   милан."," Гофрокартон 2070*77     ""LUKITURI"" (кор.стойки)"," Гофрокартон 1330*73     ""LUKITURI""   (кор. Планки)"," Гофрокартон 1060*73     ""LUKITURI""   (кор. Планки)","Паста черная","Паста желтая","Паста красная","Упаковка ""БЕКАР"" 2000*143","Протектор угловой (белый)"
"Гладкая ПГ 900 красная",,,,"0,015",,"36,000","4,090",,,,,,,"0,008",,"0,002",,,,,,,"0,0063","0,0014",,,"4,000",,,,,,,,,"5,683",,,,,,,,,"0,010","0,061","0,810","0,008",,"0,001",,"0,014",,"0,002",,,,"1,743",,,,,"0,015","0,007",,"0,040","2,000",,"0,717","0,160","0,051","8,000",,,,,,,,,,,,,,"0,001","0,070",,,,"0,072","0,561","0,079",,,,,,,,,,,,,,,,,,,,,,,,"0,585","0,200","0,008",,,,,"0,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,001",,,,,,,,,,,,"0,004","0,002","0,002",,
"Гладкая ПГ 900 шпон светлый дуб",,,,"0,015",,"36,000","4,090",,,,,,,,,"0,002",,,,,,"4,083","0,0063","0,0014",,,"4,000",,,,,,,,,,,,,,,,,,"0,010","0,061","0,810","0,008",,"0,001",,"0,014",,"0,001",,,,"1,743",,,,,"0,015","0,007",,"0,040","2,000",,"0,717","0,160","0,051","8,000",,,,,,,,,,,,,,"0,001","0,070",,,,"0,061","0,561","0,086",,,,,,,,,,,,,,,,,,,,,,,,"0,585","0,200","0,008",,,,,"0,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,001",,,,,,,,,,,,,,,,
"Гладкая ПО 600 красная",,,,"0,008",,"60,000","2,748","0,0040",,"4,300",,,,"0,003",,"0,014",,,"0,040",,,,"0,0057","0,0014",,"16,000","4,000",,,,,,,,,"4,473",,,,,,,,,"0,010","0,061","0,420","0,004",,"0,001",,"0,007",,"0,002",,,,"0,739",,,,"0,122","0,033","0,004",,"0,040","2,000","0,400","0,450","0,112","0,071","4,000",,,"0,050","4,000",,,,,,,"32,000",,"0,016","0,001","0,085",,,,"0,037","0,297","0,040",,,,,,,,,,"0,001",,"0,033",,,,,,,,,,,,"0,550","0,200","0,006",,,,,"0,100",,,,,,,,,,,,,,,,,,"0,010",,,,,,,,,,"0,332",,,,"0,001",,"0,001",,,,,,,,,,"0,002","0,001","0,001",,
"Гладкая ПО 600 шпон светлый дуб",,,,"0,008",,"60,000","2,748","0,0040",,,"4,300",,,,,"0,014",,,"0,040",,,"2,254","0,0057","0,0014",,"16,000","4,000",,,,,,,,,,,,,,,,,,"0,010","0,061","0,420","0,004",,"0,001",,"0,007",,"0,001",,,,"0,739",,,,"0,122","0,033","0,004",,"0,040","2,000","0,400","0,450","0,112","0,071","4,000",,,"0,050","4,000",,,,,,,"32,000",,"0,016","0,001","0,085",,,,"0,031","0,297","0,044",,,,,,,,,,"0,001",,"0,033",,,,,,,,,,,,"0,550","0,200","0,006",,,,,"0,100",,,,,,,,,,,,,,,,,,"0,010",,,,,,,,,,"0,332",,,,"0,001",,"0,001",,,,,,,,,,,,,,
"Гладкая ПО 700 красная",,,,"0,009",,"60,000","3,195","0,0044",,"4,300",,,,"0,003",,"0,014",,,"0,040",,,,"0,0059","0,0014",,"16,000","4,000",,,,,,,,,"4,473",,,,,,,,,"0,010","0,061","0,509","0,005",,"0,001",,"0,009",,"0,002",,,,"0,861",,,,"0,122","0,033","0,004",,"0,040","2,000","0,500","0,550","0,128","0,081","4,000",,,"0,050","4,000",,,,,,,"32,000",,"0,016","0,001","0,085",,,,"0,045","0,357","0,049",,,,,,,,,,"0,001",,"0,033",,,,,,,,,,,,"0,565","0,200","0,007",,,,,"0,100",,,,,,,,,,,,,,,,,,"0,010",,,,,,,,,,"0,332",,,,"0,001",,"0,001",,,,,,,,,,"0,003","0,001","0,001",,
"Гладкая ПО 700 шпон светлый дуб",,,,"0,009",,"60,000","3,195","0,0044",,,"4,300",,,"0,002",,"0,014",,,"0,040",,,"2,660","0,0059","0,0014",,"16,000","4,000",,,,,,,,,,,,,,,,,,"0,010","0,061","0,509","0,005",,"0,001",,"0,009",,"0,001",,,,"0,861",,,,"0,122","0,033","0,004",,"0,040","2,000","0,500","0,550","0,128","0,081","4,000",,,"0,050","4,000",,,,,,,"32,000",,"0,016","0,001","0,085",,,,"0,038","0,357","0,054",,,,,,,,,,"0,001",,"0,033",,,,,,,,,,,,"0,565","0,200","0,007",,,,,"0,100",,,,,,,,,,,,,,,,,,"0,010",,,,,,,,,,"0,332",,,,"0,001",,"0,001",,,,,,,,,,,,,,
"Гладкая ПО 800 красная",,,,"0,011",,"60,000","3,643","0,0044",,"4,300",,,,"0,003",,"0,014",,,"0,040",,,,"0,0061","0,0014",,"16,000","4,000",,,,,,,,,"5,573",,,,,,,,,"0,010","0,061","0,597","0,006",,"0,001",,"0,011",,"0,002",,,,"1,052",,,,"0,122","0,033","0,005",,"0,040","2,000","0,667","0,717","0,144","0,091","4,000",,,"0,050","4,000",,,,,,,"32,000",,"0,016","0,001","0,085",,,,"0,053","0,349","0,058",,,,,,,,,,"0,001",,"0,033",,,,,,,,,,,,"0,575","0,200","0,008",,,,,"0,100",,,,,,,,,,,,,,,,,,"0,010",,,,,,,,,,"0,332",,,,"0,001",,"0,001",,,,,,,,,,"0,003","0,002","0,002",,
"Гладкая ПО 800 шпон светлый дуб",,,,"0,011",,"60,000","3,643","0,0044",,,"4,300",,,"0,002",,"0,014",,,"0,040",,,"3,106","0,0061","0,0014",,"16,000","4,000",,,,,,,,,,,,,,,,,,"0,010","0,061","0,597","0,006",,"0,001",,"0,011",,"0,001",,,,"1,052",,,,"0,122","0,033","0,005",,"0,040","2,000","0,667","0,717","0,144","0,091","4,000",,,"0,050","4,000",,,,,,,"32,000",,"0,016","0,001","0,085",,,,"0,045","0,349","0,063",,,,,,,,,,"0,001",,"0,033",,,,,,,,,,,,"0,575","0,200","0,008",,,,,"0,100",,,,,,,,,,,,,,,,,,"0,010",,,,,,,,,,"0,332",,,,"0,001",,"0,001",,,,,,,,,,,,,,
"Гладкая ПО 900 красная",,,,"0,012",,"60,000","4,090","0,0044",,"4,300",,,,"0,004",,"0,014",,,"0,040",,,,"0,0063","0,0014",,"16,000","4,000",,,,,,,,,"5,573",,,,,,,,,"0,010","0,061","0,686","0,007",,"0,001",,"0,012",,"0,002",,,,"1,306",,,,"0,122","0,033","0,006",,"0,040","2,000","0,667","0,717","0,160","0,101","4,000",,,"0,050","4,000",,,,,,,"32,000",,"0,016","0,001","0,085",,,,"0,061","0,477","0,067",,,,,,,,,,"0,001",,"0,033",,,,,,,,,,,,"0,585","0,200","0,008",,,,,"0,100",,,,,,,,,,,,,,,,,,"0,010",,,,,,,,,,"0,332",,,,"0,001",,"0,001",,,,,,,,,,"0,004","0,002","0,002",,
"Гладкая ПО 900 шпон светлый дуб",,,,"0,012",,"60,000","4,090","0,0044",,,"4,300",,,"0,002",,"0,014",,,"0,040",,,"3,512","0,0063","0,0014",,"16,000","4,000",,,,,,,,,,,,,,,,,,"0,010","0,061","0,686","0,007",,"0,001",,"0,012",,"0,001",,,,"1,306",,,,"0,122","0,033","0,006",,"0,040","2,000","0,667","0,717","0,160","0,101","4,000",,,"0,050","4,000",,,,,,,"32,000",,"0,016","0,001","0,085",,,,"0,052","0,477","0,073",,,,,,,,,,"0,001",,"0,033",,,,,,,,,,,,"0,585","0,200","0,008",,,,,"0,100",,,,,,,,,,,,,,,,,,"0,010",,,,,,,,,,"0,332",,,,"0,001",,"0,001",,,,,,,,,,,,,,
"Добор Бекар 11-2 дуб натур 21-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Добор Бекар 11-2 дуб натур 21-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Добор Бекар 22-2 дуб тонир 21-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Добор Бекар 22-2 дуб тонир 21-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Доборы  Сити бел. дуб 21-10",,,,,,,,,,,,,,,,,,,,"1,011",,,,,,,,,,,,,,,,,,"1,097",,,,,,,,"0,030","0,176","0,002",,"0,001",,"0,003",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,107","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы  Сити бел. дуб 21-13",,,,,,,,,,,,,,,,,,,,"1,049",,,,,,,,,,,,,,,,,,"1,137",,,,,,,,"0,032","0,182","0,002",,"0,001",,"0,0031",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,112","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы  Сити венге 21-10",,,,,,,,,,,,,,,,,,,,"1,011",,,,,,,,,,,,,,,,,"1,034",,,,,,,,,"0,030","0,176","0,002",,"0,001",,"0,003",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,107","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы  Сити венге 21-13",,,,,,,,,,,,,,,,,,,,"1,049",,,,,,,,,,,,,,,,,"1,134",,,,,,,,,"0,032","0,182","0,002",,"0,001",,"0,0031",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,112","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы  Сити вишня 21-10",,,,,,,,,,,,,,,,,,,,"1,011",,,,,,,,,,,,,,,"1,097",,,,,,,,,,,"0,030","0,176","0,002",,"0,001",,"0,003",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,107","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы  Сити вишня 21-13",,,,,,,,,,,,,,,,,,,,"1,049",,,,,,,,,,,,,,,"1,137",,,,,,,,,,,"0,032","0,182","0,002",,"0,001",,"0,0031",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,112","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы  Сити орех 21-10",,,,,,,,,,,,,,,,,,,,"1,011",,,,,,,,,,,,,,,,,,,"1,094",,,,,,,"0,030","0,176","0,002",,"0,001",,"0,003",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,107","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы  Сити орех 21-13",,,,,,,,,,,,,,,,,,,,"1,049",,,,,,,,,,,,,,,,,,,"1,134",,,,,,,"0,032","0,182","0,002",,"0,001",,"0,0031",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,112","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы 1100",,,,,,,,,,,,,,,,"0,003",,,,,,"1,097",,,,,,,,,,,,"1,011",,,,,,,,,,,,"0,030","0,143","0,002",,"0,004","0,006","0,009",,"0,003",,,,,,,,"0,111","0,010","0,003",,,"2,000",,,"0,082","0,075",,,,,,,,,,,,,,,,,,,,"0,012",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Доборы Бастион шпон седой дуб 21-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Доборы Бастион шпон седой дуб 21-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Доборы Бекар 11-2 №21-10",,,,,,,,,,,,,,,,,,,,"1,011",,"1,094",,,,,,,,,,,,,,,,,,,,,,,,"0,031","0,175","0,002",,"0,001",,"0,003",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,107","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы Бекар 11-2 №21-13",,,,,,,,,,,,,,,,,,,,"1,049",,"1,134",,,,,,,,,,,,,,,,,,,,,,,,"0,032","0,182","0,002",,"0,001",,"0,0031",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,112","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы Бекар 12-2 №21-10",,,,,,,,,,,,,,,,,,,,"1,011",,,,,,,,,,"1,094",,,,,,,,,,,,,,,,"0,031","0,175","0,002",,"0,001",,"0,003",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,107","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы Бекар 12-2 №21-13",,,,,,,,,,,,,,,,,,,,"1,049",,,,,,,,,,"1,134",,,,,,,,,,,,,,,,"0,032","0,182","0,002",,"0,001",,"0,0031",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,112","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы венге Паша",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,013","0,002","0,270","0,300",,,,,,,,,,,"0,001","0,026","0,013","0,000",,,,,"0,007",,,,,,,,,,,,,,,,"0,003",,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,
"Доборы вишня Паша",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,013","0,002","0,270","0,300",,,,,,,,,,,"0,001","0,026","0,013","0,000",,,,,"0,007",,,,,,,,,,,,,,,,"0,003",,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Доборы Гладкое 2 венге 21-10",,,,,,,,,,,,,,,,,,,,"1,011",,,,,,,,,,,,,,,,,"1,094",,,,,,,,,"0,030","0,176","0,002",,"0,001",,"0,003",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,107","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы Гладкое 2 венге 21-13",,,,,,,,,,,,,,,,,,,,"1,049",,,,,,,,,,,,,,,,,"1,134",,,,,,,,,"0,032","0,182","0,002",,"0,001",,"0,0031",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,112","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы Гладкое красное дерево  21-10",,,,,,,,,,,,,,,,,,,,"1,011",,,,,,,,,,,,,,,,"1,237",,,,,,,,,,"0,030","0,176","0,002",,"0,001",,"0,003",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,015","0,107","0,016",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,"0,0009","0,0004","0,0004",,
"Доборы Гладкое красное дерево  21-13",,,,,,,,,,,,,,,,,,,,"1,049",,,,,,,,,,,,,,,,"1,274",,,,,,,,,,"0,032","0,182","0,002",,"0,001",,"0,0031",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,015","0,112","0,017",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,"0,0009","0,0004","0,0004",,
"Доборы Гладкое шпон дуба 514/Х3  21-10",,,,,,,,,,,,,,,,,,,,"1,011",,"1,094",,,,,,,,,,,,,,,,,,,,,,,,"0,030","0,176","0,002",,"0,001",,"0,003",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,107","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы Гладкое шпон дуба 514/Х3  21-13",,,,,,,,,,,,,,,,,,,,"1,049",,"1,134",,,,,,,,,,,,,,,,,,,,,,,,"0,032","0,182","0,002",,"0,001",,"0,0031",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,112","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"доборы дуб белен. Паша",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,013","0,002","0,270","0,300",,,,,,,,,,,"0,001","0,026","0,013","0,000",,,,,"0,007",,,,,,,,,,,,,,,,"0,003",,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Доборы дуб, орех, Паша",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,013","0,002","0,270","0,300",,,,,,,,,,,"0,001","0,026","0,013","0,000",,,,,"0,007",,,,,,,,,,,,,,,,"0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Доборы Пальмира бел. дуб 21-10 ",,,,,,,,,,,,,,,,,,,,"1,011",,,,,,,,,,,,,,,,,,"1,097",,,,,,,,"0,030","0,176","0,002",,"0,001",,"0,003",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,107","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
"Доборы Пальмира бел. дуб 21-13",,,,,,,,,,,,,,,,,,,,"1,049",,,,,,,,,,,,,,,,,,"1,137",,,,,,,,"0,032","0,182","0,002",,"0,001",,"0,0031",,"0,001",,,,,,,,"0,014","0,006","0,0015",,,,,,"0,035","0,040",,,,,,,,,,,,,,,,"0,0072",,,,"0,013","0,112","0,019",,,,,,,,,,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,050",,,,,,,,,,,,,,,"0,0007",,,,,,,,,,,,,,,,
